timestep,YearType,Year,Week,EstimatedFishingMort,EstimatedBiomass,EstimatedCatches
1,SimYear,2007,1,0.062,434020,25519.6
2,SimYear,2007,2,0.0624,395678,23410.6
3,SimYear,2007,3,0.0644,361732,22066.5
4,SimYear,2007,4,0.0584,331303,18381.4
5,SimYear,2007,5,0.0736,306624,21280.6
6,SimYear,2007,6,0.0764,281111,20224.5
7,SimYear,2007,7,0.0788,258826,19183.5
8,SimYear,2007,8,0.0496,239812,11349.4
9,SimYear,2007,9,0.0648,230899,14170.1
10,SimYear,2007,10,0.076,221509,15856.1
11,SimYear,2007,11,0.0708,213127,14248.5
12,SimYear,2007,12,0.096,209421,18751.3
13,SimYear,2007,13,0.0956,204654,18251.7
14,SimYear,2007,14,0.09,204405,17208.7
15,SimYear,2007,15,0.1016,209759,19823
16,SimYear,2007,16,0.0892,217602,18164.1
17,SimYear,2007,17,0.0864,232921,18858.3
18,SimYear,2007,18,0.0756,253934,18085
19,SimYear,2007,19,0.092,282709,24306.3
20,SimYear,2007,20,0.0804,312502,23613.6
21,SimYear,2007,21,0.0604,350635,20100.5
22,SimYear,2007,22,0.0884,400004,33103.3
23,SimYear,2007,23,0.0736,443221,30760.9
24,SimYear,2007,24,0.086,495304,39924
25,SimYear,2007,25,0.0792,543297,40464.3
26,SimYear,2007,26,0.0668,594605,37579.7
27,SimYear,2007,27,0.0636,651078,39239.3
28,SimYear,2007,28,0.056,706179,37614.5
29,SimYear,2007,29,0.0496,761371,36032.8
30,SimYear,2007,30,0.0404,814788,31551
31,SimYear,2007,31,0.0348,867793,29025.7
32,SimYear,2007,32,0.0344,917044,30326.4
33,SimYear,2007,33,0.0296,957608,27313.7
34,SimYear,2007,34,0.0256,993280,24551.1
35,SimYear,2007,35,0.0216,1.02353e+06,21388.1
36,SimYear,2007,36,0.0176,1.0488e+06,17893
37,SimYear,2007,37,0.02,1.06969e+06,20713.3
38,SimYear,2007,38,0.012,1.08021e+06,12600
39,SimYear,2007,39,0.01,1.09209e+06,10626
40,SimYear,2007,40,0.0076,1.09969e+06,8141.66
41,SimYear,2007,41,0.01,1.10417e+06,10743.5
42,SimYear,2007,42,0.008,1.10099e+06,8578.58
43,SimYear,2007,43,0.006,1.09565e+06,6409.09
44,SimYear,2007,44,0.0092,1.08872e+06,9749.61
45,SimYear,2007,45,0.0184,1.07514e+06,19168.5
46,SimYear,2007,46,0.0236,1.04935e+06,23934.3
47,SimYear,2007,47,0.034,1.01667e+06,33236.6
48,SimYear,2007,48,0.0396,973069,36948.6
49,SimYear,2007,49,0.0572,924759,50283
50,SimYear,2007,50,0.0492,862555,40500.2
51,SimYear,2007,51,0.054,810242,41657
52,SimYear,2007,52,0.052,756968,37513.5
53,SimYear,2008,1,0.062,711729,41848.4
