timestep,biomass,catch,effort,recruitment,SSB
0,20730.6,0,10.7355,462.575,0
1,18729.8,0,8.30344,826.98,0
2,16943,34.7136,4.87059,1526.05,0
3,15368.9,20.1583,3.11688,2880.53,0
4,14002.5,45.1308,7.66652,5510.74,0
5,12843.5,53.2216,9.86139,10584.3,0
6,11990.9,40.4759,8.02991,20215.2,0
7,11619.9,46.6057,9.54428,38034.8,0
8,11985.7,69.9616,13.9029,69853.3,0
9,13519.6,128.929,22.7571,124128,428.137
10,16858.2,293.797,41.7567,211652,533.861
11,22802.7,493.996,52.0206,343640,722.112
12,32389.3,910.764,67.7481,527574,1025.7
13,46441.9,1884.06,98.3788,761180,3198.13
14,65094.8,3155.59,118.049,1.02667e+06,4482.63
15,88052.5,4555.46,126.203,1.289e+06,6063.57
16,114255,5992.92,127.999,1.50155e+06,7867.96
17,141804,9017.68,156.11,1.61935e+06,9765.1
18,166580,11620.6,171.82,1.61507e+06,11270.4
19,186480,14140.7,187.384,1.48972e+06,12616.7
20,199572,12803.8,157.542,1.27227e+06,13502.6
21,208719,19034,227.251,1.00833e+06,14121.4
22,205913,16719.4,201.232,744075,4805.16
23,200462,16734.4,207.147,513465,4677.96
24,190906,19442.6,255.287,333118,4454.98
25,175500,14185.7,200.285,204446,4095.44
26,163309,10263.8,154.223,119538,4173.82
27,153668,16238.2,265.445,67102.2,3927.42
28,136994,16575,306.554,36466.9,3501.26
29,119431,13877.4,293.612,19356.6,3052.38
30,104316,12424,301.442,10127.8,2666.08
31,90536.2,11262,315.78,5272.9,289.945
32,77898.2,9864.06,321.864,2757.89,249.472
33,66705.5,8916.69,341.14,1462.9,213.627
34,56542.2,7575.58,341.988,794.233,181.078
35,47829.3,5439.85,286.994,445.357,221.97
36,41365.7,4779.14,291.829,260.206,191.973
37,35651.7,4400.44,313.164,159.584,165.455
38,30407.6,3412.96,282.986,103.446,141.118
39,26243.4,2760.23,264.135,71.4434,0
40,22809.6,2124.86,232.392,52.8346,0
41,20077.9,1355.21,166.045,41.907,0
42,18168.8,1328.32,180.397,35.8764,0
43,16325.9,995.514,149.482,33.3081,0
44,14854.6,704.706,115.461,33.3928,21.8267
45,13705.3,499.807,88.2468,36.1626,20.1378
46,12785.1,321.525,60.4969,42.471,18.7858
47,12062.4,299.753,59.7701,53.8069,17.7239
48,11377.6,212.287,44.7339,73.0987,0
49,10795.9,98.9703,21.8724,106.321,0
50,10340.9,62.4126,14.377,164.677,0
51,9934.36,40.6151,9.72904,269.447,0
52,9557.96,43.1095,10.7355,225.7,0
53,9191.5,32.0815,8.30344,403.5,0
54,8851.96,18.1363,4.87059,744.591,0
55,8548.45,11.2124,3.11688,1405.47,0
56,8286.21,26.7069,7.66652,2688.8,0
57,8066.99,33.4284,9.86139,5164.27,0
58,7944.86,26.8183,8.02991,9863.42,0
59,8013.87,32.1426,9.54428,18558,0
60,8400.18,49.0327,13.9029,34082.8,0
61,9314.84,88.8304,22.7571,60564.5,294.981
62,11066.1,192.855,41.7567,103269,350.439
63,14034.9,304.051,52.0206,167669,444.455
64,18740.4,526.969,67.7481,257414,593.469
65,25581.7,1037.8,98.3788,371395,1761.64
66,34610.3,1677.8,118.049,500933,2383.37
67,45701.8,2364.42,126.203,628930,3147.17
68,58358.7,3061.04,127.999,732636,4018.76
69,71666.2,4557.42,156.11,790115,4935.15
70,83590.4,5831.26,171.82,788024,5655.51
71,93124.4,7061.61,187.384,726862,6300.56
72,99331.6,6372.74,157.542,620768,6720.52
73,103647,9452.03,227.251,491985,7012.51
74,102089,8289.23,201.232,363049,2382.33
75,99272.5,8287.17,207.147,250530,2316.62
76,94463,9620.47,255.287,162535,2204.38
77,86787,7015.04,200.285,99753.4,2025.25
78,80722.4,5073.29,154.223,58324.8,2063.08
79,75930.5,8023.63,265.445,32740.5,1940.61
80,67672.5,8187.72,306.554,17792.9,1729.56
81,58982.9,6853.59,293.612,9444.45,1507.47
82,51508,6134.6,301.442,4941.56,1316.43
83,44696.3,5559.85,315.78,2572.75,143.141
84,38451.2,4868.98,321.864,1345.63,123.141
85,32921.9,4400.75,341.14,713.779,105.434
86,27902.4,3738.4,341.988,387.522,89.3585
87,23600.1,2684.15,286.994,217.298,109.525
88,20408.7,2357.9,291.829,126.96,94.7145
89,17588,2170.86,313.164,77.8644,81.6236
90,14999.6,1683.56,282.986,50.4732,69.6111
91,12944.4,1361.47,264.135,34.8587,0
92,11249.8,1048,232.392,25.7791,0
93,9901.87,668.351,166.045,20.4473,0
94,8959.77,655.048,180.397,17.5048,0
95,8050.47,490.899,149.482,16.2517,0
96,7324.57,347.479,115.461,16.293,10.7624
97,6757.48,246.434,88.2468,17.6445,9.92911
98,6303.47,158.522,60.4969,20.7224,9.262
99,5946.89,147.781,59.7701,26.2535,8.73806
100,5609.01,104.655,44.7339,35.6663,0
101,5321.99,48.789,21.8724,51.8762,0
102,5097.49,30.766,14.377,80.3491,0
103,4896.89,20.0202,9.72904,131.469,0
104,4716.1,21.2712,10.7355,363.459,0
105,4544.28,15.8611,8.30344,649.782,0
106,4393.45,9.00151,4.87059,1199.06,0
107,4275.29,5.6076,3.11688,2263.31,0
108,4206.38,13.5574,7.66652,4329.95,0
109,4214.08,17.4625,9.86139,8316.36,0
110,4374.85,14.7676,8.02991,15883.7,0
111,4825.23,19.3533,9.54428,29885.1,0
112,5780.43,33.741,13.9029,54885.7,0
113,7588.92,72.3712,22.7571,97530.9,240.324
114,10759.1,187.505,41.7567,166301,340.717
115,15930.1,345.108,52.0206,270008,504.472
116,23905.8,672.215,67.7481,414530,757.044
117,35338.3,1433.61,98.3788,598081,2433.51
118,50338.5,2440.25,118.049,806685,3466.47
119,68667.7,3552.58,126.203,1.01281e+06,4728.67
120,89493.9,4694.14,127.999,1.17981e+06,6162.83
121,111332,7079.85,156.11,1.27237e+06,7666.64
122,130950,9135.07,171.82,1.269e+06,8859.75
123,146700,11124.2,187.384,1.17051e+06,9925.34
124,157069,10077,157.542,999663,10626.9
125,164317,14984.8,227.251,792275,11117.3
126,162143,13165.5,201.232,584641,3783.77
127,157880,13179.6,207.147,403444,3684.26
128,150378,15315,255.287,261741,3509.2
129,138261,11175.7,200.285,160639,3226.46
130,128675,8087.05,154.223,93924.2,3288.64
131,121094,12796,265.445,52724.1,3094.88
132,107966,13062.9,306.554,28653.1,2759.37
133,94134.3,10938.1,293.612,15209,2405.86
134,82228.9,9793.47,301.442,7957.71,2101.59
135,71373.1,8878.22,315.78,4143.07,228.575
136,61415,7776.83,321.864,2166.96,196.684
137,52594.5,7030.44,341.14,1149.44,168.436
138,44584.2,5973.43,341.988,624.051,142.782
139,37716.3,4289.65,286.994,349.93,175.037
140,32621.2,3768.85,291.829,204.451,151.391
141,28116.6,3470.39,313.164,125.39,130.486
142,23982,2691.75,282.986,81.2801,111.297
143,20698.7,2177.05,264.135,56.1351,0
144,17991.1,1675.99,232.392,41.5137,0
145,15837.1,1068.96,166.045,32.9275,0
146,14331.7,1047.79,180.397,28.1891,0
147,12878.5,785.299,149.482,26.1711,0
148,11718.3,555.915,115.461,26.2377,17.2182
149,10811.9,394.291,88.2468,28.414,15.8864
150,10086.2,253.653,60.4969,33.3707,14.8202
151,9516.37,236.483,59.7701,42.2776,13.9829
152,8976.3,167.483,44.7339,57.4358,0
153,8517.53,78.0838,21.8724,83.5395,0
154,8158.74,49.2422,14.377,129.391,0
155,7838.14,32.045,9.72904,211.712,0
156,7543.72,34.0246,10.7355,302.293,0
157,7259.12,25.3368,8.30344,540.432,0
158,6999.53,14.341,4.87059,997.275,0
159,6775.7,8.88721,3.11688,1882.43,0
160,6598.65,21.2678,7.66652,3601.27,0
161,6482.81,26.8638,9.86139,6916.82,0
162,6495.37,21.9255,8.02991,13210.7,0
163,6754.96,27.0932,9.54428,24855.8,0
164,7436.49,43.4075,13.9029,45649.1,0
165,8826.85,84.1767,22.7571,81117.6,279.527
166,11344.8,197.713,41.7567,138315,359.266
167,15513.3,336.079,52.0206,224569,491.273
168,22011.8,618.956,67.7481,344770,697.064
169,31379.4,1273,98.3788,497431,2160.88
170,43698.8,2118.38,118.049,670930,3009.24
171,58784.7,3041.27,126.203,842363,4048.1
172,75955.5,3984.02,127.999,981263,5230.53
173,93979.8,5976.4,156.11,1.05825e+06,6471.74
174,110155,7684.44,171.82,1.05545e+06,7452.83
175,123120,9336.18,187.384,973529,8330
176,131618,8444.09,157.542,831432,8904.92
177,137545,12543.3,227.251,658945,9305.92
178,135623,11012.1,201.232,486253,3164.88
179,131984,11017.9,207.147,335550,3079.98
180,125662,12797.9,255.287,217693,2932.45
181,115502,9336.09,200.285,133606,2695.35
182,107468,6754.21,154.223,78117.9,2746.64
183,101116,10685,265.445,43851.3,2584.31
184,90140.1,10906.1,306.554,23831.1,2303.78
185,78581.1,9130.84,293.612,12649.5,2008.36
186,68634.5,8174.37,301.442,6618.52,1754.14
187,59567,7409.64,315.78,3445.84,190.765
188,51251.2,6489.81,321.864,1802.28,164.134
189,43886.7,5866.44,341.14,956.006,140.549
190,37199.7,4984.05,341.988,519.031,119.133
191,31467.1,3578.89,286.994,291.041,146.035
192,27214.4,3144.19,291.829,170.044,126.299
193,23455,2895.02,313.164,104.288,108.852
194,20004.8,2245.34,282.986,67.6017,92.8397
195,17265.1,1815.91,264.135,46.6883,0
196,15005.9,1397.9,232.392,34.5274,0
197,13208.8,891.558,166.045,27.3862,0
198,11952.7,873.863,180.397,23.4452,0
199,10740.3,654.918,149.482,21.7668,0
200,9772.35,463.602,115.461,21.8222,14.359
201,9016.19,328.805,88.2468,23.6323,13.2479
202,8410.8,211.518,60.4969,27.7548,12.3584
203,7935.35,197.195,59.7701,35.1628,11.6598
204,7484.8,139.654,44.7339,47.77,0
205,7102.07,65.1077,21.8724,69.4809,0
206,6802.73,41.058,14.377,107.616,0
207,6535.25,26.7184,9.72904,176.084,0
208,6289.09,28.3658,10.7355,224.28,0
209,6050.69,21.119,8.30344,400.962,0
210,5832.32,11.9495,4.87059,739.907,0
211,5642.13,7.40039,3.11688,1396.63,0
212,5487.77,17.6874,7.66652,2671.89,0
213,5378.37,22.2871,9.86139,5131.79,0
214,5364.46,18.108,8.02991,9801.38,0
215,5535.01,22.2002,9.54428,18441.2,0
216,6019.02,35.1336,13.9029,33868.4,0
217,7028.78,67.0295,22.7571,60183.5,222.586
218,8874.23,154.656,41.7567,102620,281.028
219,11941.6,258.702,52.0206,166614,378.166
220,16737.2,470.639,67.7481,255795,530.031
221,23660.4,959.854,98.3788,369059,1629.33
222,32770.7,1588.62,118.049,497782,2256.69
223,43933.1,2272.91,126.203,624974,3025.37
224,56643.8,2971.08,127.999,728027,3900.67
225,69990.1,4450.84,156.11,785145,4819.74
226,81964.4,5717.83,171.82,783067,5545.5
227,91557.6,6942.79,187.384,722290,6194.55
228,97838,6276.91,157.542,616863,6619.47
229,102216,9321.52,227.251,488891,6915.68
230,100768,8182.03,201.232,360765,2351.52
231,98051.4,8185.24,207.147,248954,2288.12
232,93345.3,9506.63,255.287,161513,2178.3
233,85791.1,6934.54,200.285,99125.9,2002.02
234,79818.7,5016.5,154.223,57957.9,2039.99
235,75097.6,7935.62,265.445,32534.5,1919.33
236,66942.9,8099.46,306.554,17681,1710.91
237,58356.5,6780.81,293.612,9385.04,1491.46
238,50968.3,6070.33,301.442,4910.48,1302.63
239,44233.6,5502.29,315.78,2556.57,141.659
240,38057.4,4819.12,321.864,1337.17,121.88
241,32588.1,4356.13,341.14,709.289,104.364
242,27622.1,3700.83,341.988,385.084,88.4606
243,23365,2657.41,286.994,215.932,108.434
244,20206.9,2334.59,291.829,126.161,93.778
245,17415.3,2149.55,313.164,77.3746,80.8223
246,14853.3,1667.14,282.986,50.1557,68.9323
247,12818.9,1348.27,264.135,34.6394,0
248,11141.4,1037.9,232.392,25.6169,0
249,9806.97,661.946,166.045,20.3186,0
250,8874.33,648.802,180.397,17.3947,0
251,7974.07,486.24,149.482,16.1494,0
252,7255.37,344.195,115.461,16.1905,10.6607
253,6693.9,244.115,88.2468,17.5335,9.83569
254,6244.39,157.037,60.4969,20.5921,9.17521
255,5891.36,146.401,59.7701,26.0883,8.65648
256,5556.82,103.681,44.7339,35.442,0
257,5272.64,48.3366,21.8724,51.5499,0
258,5050.38,30.4816,14.377,79.8437,0
259,4851.77,19.8357,9.72904,130.642,0
260,4672.62,21.075,10.7355,352.273,0
261,4502.21,15.7142,8.30344,629.784,0
262,4352.34,8.91728,4.87059,1162.16,0
263,4234.37,5.55392,3.11688,2193.66,0
264,4164.28,13.4217,7.66652,4196.69,0
265,4168.37,17.2731,9.86139,8060.41,0
266,4320.84,14.5853,8.02991,15394.8,0
267,4754.17,19.0683,9.54428,28965.3,0
268,5676.84,33.1363,13.9029,53196.5,0
269,7426.49,70.8223,22.7571,94529.2,235.181
270,10495.8,182.916,41.7567,161183,332.379
271,15504,335.876,52.0206,261698,490.977
272,23230.4,653.222,67.7481,401772,735.655
273,34307.1,1391.77,98.3788,579674,2362.49
274,48841.2,2367.67,118.049,781858,3363.36
275,66601.9,3445.7,126.203,981635,4586.41
276,86782.8,4551.94,127.999,1.1435e+06,5976.13
277,107945,6864.45,156.11,1.23321e+06,7433.4
278,126955,8856.39,171.82,1.22995e+06,8589.46
279,142216,10784.2,187.384,1.13449e+06,9622
280,152263,9768.62,157.542,968896,10301.7
281,159285,14525.9,227.251,767892,10776.8
282,157175,12762,201.232,566648,3667.82
283,153040,12775.6,207.147,391028,3571.32
284,145766,14845.4,255.287,253685,3401.59
285,134021,10833,200.285,155695,3127.5
286,124728,7838.96,154.223,91033.5,3187.76
287,117378,12403.4,265.445,51101.4,2999.92
288,104653,12662,306.554,27771.2,2674.7
289,91245.4,10602.4,293.612,14740.9,2332.03
290,79705.1,9492.88,301.442,7712.8,2037.08
291,69182.3,8605.71,315.78,4015.56,221.559
292,59529.7,7538.1,321.864,2100.26,190.646
293,50979.9,6814.61,341.14,1114.07,163.265
294,43215.4,5790.05,341.988,604.845,138.399
295,36558.3,4157.94,286.994,339.16,169.663
296,31619.6,3653.14,291.829,198.159,146.743
297,27253.3,3363.83,313.164,121.531,126.479
298,23245.6,2609.09,282.986,78.7786,107.88
299,20063.1,2110.2,264.135,54.4075,0
300,17438.6,1624.52,232.392,40.236,0
301,15350.7,1036.14,166.045,31.9141,0
302,13891.6,1015.61,180.397,27.3215,0
303,12482.9,761.181,149.482,25.3656,0
304,11358.4,538.842,115.461,25.4302,16.6894
305,10479.8,382.181,88.2468,27.5395,15.3985
306,9776.45,245.862,60.4969,32.3436,14.365
307,9224.07,229.219,59.7701,40.9764,13.5534
308,8700.58,162.338,44.7339,55.6681,0
309,8255.9,75.6854,21.8724,80.9685,0
310,7908.13,47.7296,14.377,125.409,0
311,7597.37,31.0607,9.72904,205.196,0
312,7317.7,33.0052,10.7355,585.793,0
313,7052.23,24.6147,8.30344,1047.27,0
314,6819.96,13.9731,4.87059,1932.55,0
315,6639.64,8.70875,3.11688,3647.83,0
316,6538.19,21.0729,7.66652,6978.66,0
