timestep,YearType,Year,Week,EstimatedFishingMort,EstimatedBiomass,EstimatedCatches
1,SimYear,2007,1,0.00882517,2.58373e+06,22208.7
2,SimYear,2007,2,0.00888211,2.47691e+06,21427.3
3,SimYear,2007,3,0.00916679,2.3732e+06,21185.1
4,SimYear,2007,4,0.00831274,2.27212e+06,18400.9
5,SimYear,2007,5,0.0104763,2.17625e+06,22187.9
6,SimYear,2007,6,0.0108749,2.07908e+06,21999.3
7,SimYear,2007,7,0.0112165,1.98472e+06,21656.9
8,SimYear,2007,8,0.00706014,1.89338e+06,13031.2
9,SimYear,2007,9,0.00922373,1.81328e+06,16286.9
10,SimYear,2007,10,0.010818,1.73254e+06,18236.9
11,SimYear,2007,11,0.0100778,1.65277e+06,16212.9
12,SimYear,2007,12,0.0136648,1.57838e+06,20956.8
13,SimYear,2007,13,0.0136078,1.50341e+06,19878.7
14,SimYear,2007,14,0.0128107,1.43516e+06,17871.9
15,SimYear,2007,15,0.0144619,1.37706e+06,19342.7
16,SimYear,2007,16,0.0126969,1.32994e+06,16415.3
17,SimYear,2007,17,0.0122983,1.30534e+06,15608.9
18,SimYear,2007,18,0.010761,1.31201e+06,13738.1
19,SimYear,2007,19,0.0130954,1.36661e+06,17393.9
20,SimYear,2007,20,0.0114443,1.48366e+06,16516.2
21,SimYear,2007,21,0.00859743,1.69043e+06,14156.8
22,SimYear,2007,22,0.012583,2.00936e+06,24580.2
23,SimYear,2007,23,0.0104763,2.44034e+06,24880.4
24,SimYear,2007,24,0.0122414,2.99179e+06,35610.6
25,SimYear,2007,25,0.0112734,3.63182e+06,39829.7
26,SimYear,2007,26,0.00950841,4.32734e+06,40062.1
27,SimYear,2007,27,0.00905292,5.0308e+06,44353.6
28,SimYear,2007,28,0.00797112,5.68526e+06,44157.7
29,SimYear,2007,29,0.00706014,6.2524e+06,43032.1
30,SimYear,2007,30,0.0057506,6.70728e+06,37624.7
31,SimYear,2007,31,0.00495348,7.04688e+06,34063.8
32,SimYear,2007,32,0.00489655,7.27681e+06,34772
33,SimYear,2007,33,0.00421331,7.40905e+06,30474.1
34,SimYear,2007,34,0.00364394,7.46808e+06,26573.5
35,SimYear,2007,35,0.00307458,7.47167e+06,22438.5
36,SimYear,2007,36,0.00250521,7.43503e+06,18198.7
37,SimYear,2007,37,0.00284683,7.36957e+06,20494.8
38,SimYear,2007,38,0.0017081,7.2768e+06,12148.9
39,SimYear,2007,39,0.00142342,7.17331e+06,9981.54
40,SimYear,2007,40,0.0010818,7.05687e+06,7464.1
41,SimYear,2007,41,0.00142342,6.93084e+06,9644.14
42,SimYear,2007,42,0.00113873,6.79279e+06,7562.71
43,SimYear,2007,43,0.000854049,6.64892e+06,5552.68
44,SimYear,2007,44,0.00130954,6.50067e+06,8322.4
45,SimYear,2007,45,0.00261908,6.34458e+06,16234.6
46,SimYear,2007,46,0.00335926,6.17673e+06,20264.3
47,SimYear,2007,47,0.00483961,6.00225e+06,28348.8
48,SimYear,2007,48,0.00563672,5.81811e+06,31992.4
49,SimYear,2007,49,0.00814193,5.62978e+06,44660
50,SimYear,2007,50,0.0070032,5.42911e+06,37065.5
51,SimYear,2007,51,0.00768644,5.23725e+06,39230.7
52,SimYear,2007,52,0.00740176,5.04483e+06,36394.9
