timestep,biomass,catch,effort,recruitment,SSB
0,2.58373e+06,0,87.6263,1614.72,0
1,2.47691e+06,0,67.3339,1750.57,0
2,2.37485e+06,1203.92,38.74,2032.89,0
3,2.27757e+06,738.944,26.7491,2529.27,0
4,2.18447e+06,1742.85,58.11,3373.35,0
5,2.09398e+06,2148.69,71.9458,4789.81,0
6,2.00662e+06,1676.8,54.4205,7191.72,0
7,1.92319e+06,1910.01,64.5667,11369.4,0
8,1.84293e+06,2665.55,77.4801,18804.6,0
9,1.76535e+06,4177.49,110.686,32273.5,55904.7
10,1.68986e+06,7330.09,186.321,57021.1,53514
11,1.61522e+06,8723.78,203.846,102879,51150.5
12,1.54397e+06,10851.1,241.664,187910,48894.3
13,1.47679e+06,15047.2,334.825,344385,101696
14,1.41418e+06,17272.5,391.09,627750,97385
15,1.36253e+06,17783.4,409.537,1.12822e+06,93828.1
16,1.33066e+06,17613,404.003,1.98226e+06,91633.6
17,1.33017e+06,21441.3,439.054,3.3771e+06,91599.3
18,1.3726e+06,24331.8,480.561,5.53601e+06,92866.9
19,1.47901e+06,28569.6,475.949,8.6701e+06,100066
20,1.67065e+06,27174.6,399.391,1.2889e+07,113032
21,1.97405e+06,46147.9,567.265,1.80843e+07,133559
22,2.3813e+06,49362.1,481.483,2.38321e+07,55569.7
23,2.90641e+06,61998.8,495.319,2.9382e+07,67823.8
24,3.51845e+06,92263.1,577.411,3.37875e+07,82106.2
25,4.15938e+06,85818.7,443.666,3.61673e+07,97062.9
26,4.81528e+06,76688.2,345.893,3.60031e+07,123068
27,5.43635e+06,148149,572.799,3.33314e+07,138941
28,5.89668e+06,185179,664.115,2.87302e+07,150706
29,6.20577e+06,186785,619.84,2.31057e+07,158606
30,6.39316e+06,197476,636.443,1.7392e+07,163395
31,6.45774e+06,208801,671.494,1.23027e+07,20681.1
32,6.416e+06,211381,681.64,8.21927e+06,20547.5
33,6.29704e+06,219664,740.672,5.21634e+06,20166.5
34,6.11396e+06,213798,745.284,3.16551e+06,19580.2
35,5.89688e+06,173548,641.978,1.85012e+06,27366.7
36,5.69249e+06,170312,653.969,1.04955e+06,26418.2
37,5.47139e+06,175467,711.156,582671,25392.1
38,5.23104e+06,151834,661.348,319285,24276.6
39,5.00482e+06,135725,626.297,174204,0
40,4.78783e+06,114428,606.927,95475.3,0
41,4.58725e+06,78607.8,465.803,53031.8,0
42,4.41895e+06,82206.9,493.474,30111.8,0
43,4.24405e+06,65529.4,451.967,17618.6,0
44,4.08399e+06,48794,395.702,10708,6000.81
45,3.93935e+06,36024,337.592,6815.25,5788.29
46,3.80653e+06,23898.2,279.482,4569.82,5593.12
47,3.68518e+06,22859.3,263.801,3242.26,5414.83
48,3.56451e+06,16561.6,226.906,2451.56,0
49,3.45017e+06,7847.39,132.823,1987.85,0
50,3.34481e+06,5002.66,108.841,1726.28,0
51,3.2427e+06,3282.81,74.7129,1606.81,0
52,3.14292e+06,3510.76,87.6263,0.174864,0
53,3.04378e+06,2630.09,67.3339,0.189575,0
54,2.94661e+06,1493.77,38.74,0.220149,0
55,2.85185e+06,925.266,26.7491,0.273904,0
56,2.75908e+06,2201.29,58.11,0.365312,0
57,2.66659e+06,2736.27,71.9458,0.518705,0
58,2.57529e+06,2152,54.4205,0.778817,0
59,2.4864e+06,2469.38,64.5667,1.23124,0
60,2.39912e+06,3470,77.4801,2.03642,0
61,2.31283e+06,5473.04,110.686,3.49501,73242.2
62,2.22664e+06,9658.5,186.321,6.17502,70512.9
63,2.13851e+06,11550.1,203.846,11.1411,67722.1
64,2.05089e+06,14413.7,241.664,20.3494,64947.2
65,1.96289e+06,20000.1,334.825,37.2947,135170
66,1.87194e+06,22863.4,391.09,67.9813,128907
67,1.78091e+06,23244.1,409.537,122.179,122639
68,1.69235e+06,22400.4,404.003,214.666,116540
69,1.60744e+06,25910.7,439.054,365.718,110693
70,1.52182e+06,26976.9,480.561,599.515,102962
71,1.438e+06,27777.4,475.949,938.916,97291.4
72,1.35623e+06,22060.3,399.391,1395.79,91759.1
73,1.2829e+06,29990.7,567.265,1958.41,86797.6
74,1.20431e+06,24964.3,481.483,2580.86,28103.8
75,1.13346e+06,24178.7,495.319,3181.88,26450.3
76,1.06591e+06,27950.9,577.411,3658.97,24873.9
77,997082,20572.4,443.666,3916.69,23267.8
78,938015,14938.8,345.893,3898.9,23973.5
79,886632,24162.1,572.799,3609.58,22660.3
80,828065,26004.5,664.115,3111.3,21163.5
81,769863,23171.8,619.84,2502.2,19676
82,716624,22135.5,636.443,1883.44,18315.3
83,666408,21547.3,671.494,1332.31,2134.19
84,618673,20382.8,681.64,890.094,1981.32
85,573905,20019.9,740.672,564.896,1837.95
86,531214,18575.9,745.284,342.805,1701.23
87,491592,14467.7,641.978,200.356,2281.42
88,457540,13689,653.969,113.659,2123.39
89,425578,13648.3,711.156,63.0995,1975.06
90,394908,11462.4,661.348,34.5765,1832.72
91,367589,9968.61,626.297,18.8652,0
92,342813,8193.11,606.927,10.3394,0
93,320757,5496.54,465.803,5.743,0
94,302219,5622.26,493.474,3.26092,0
95,284293,4389.57,451.967,1.90798,0
96,268289,3205.42,395.702,1.15961,394.211
97,254084,2323.51,337.592,0.738048,373.338
