timestep,biomass,catch,effort,recruitment,SSB
0,2.58373e+06,0,23.5057,1614.72,0
1,2.47691e+06,0,18.0623,1750.57,0
2,2.37448e+06,322.961,10.392,2032.89,0
3,2.27633e+06,198.138,7.17544,2529.27,0
4,2.18221e+06,467.173,15.588,3373.35,0
5,2.09158e+06,575.947,19.2995,4789.81,0
6,2.0045e+06,449.467,14.5983,7191.72,0
7,1.92111e+06,511.998,17.32,11369.4,0
8,1.84116e+06,714.734,20.784,18804.6,0
9,1.76451e+06,1121.07,29.6915,32273.5,55878.3
10,1.69108e+06,1970.9,49.9806,57021.1,53552.9
11,1.62076e+06,2352.9,54.6818,102879,51325.9
12,1.55471e+06,2938.74,64.8264,187910,49234.4
13,1.49409e+06,4099.26,89.8167,344385,102888
14,1.44082e+06,4742.18,104.91,627750,99219.3
15,1.39974e+06,4924.6,109.858,1.12822e+06,96390.3
16,1.37841e+06,4918.44,108.374,1.98226e+06,94921.3
17,1.38794e+06,6037.74,117.776,3.3771e+06,95578.2
18,1.44282e+06,6906.53,128.91,5.53601e+06,97617.6
19,1.56339e+06,8159.8,127.673,8.6701e+06,105775
20,1.77196e+06,7778.78,107.137,1.2889e+07,119886
21,2.09113e+06,13228.8,152.169,1.80843e+07,141480
22,2.52789e+06,14166,129.158,2.38321e+07,58990.6
23,3.0849e+06,17794.1,132.869,2.9382e+07,71989
24,3.73822e+06,26555.5,154.89,3.37875e+07,87234.7
25,4.44276e+06,24779.9,119.013,3.61673e+07,103676
26,5.15763e+06,22165.7,92.7858,3.60031e+07,131817
27,5.83088e+06,43063.2,153.653,3.33314e+07,149024
28,6.39526e+06,54514.3,178.149,2.87302e+07,163448
29,6.83445e+06,55808.7,166.272,2.31057e+07,174673
30,7.15148e+06,59948.3,170.726,1.7392e+07,182776
31,7.35103e+06,64538.9,180.128,1.23027e+07,23541.9
32,7.44913e+06,66654.6,182.85,8.21927e+06,23856.1
33,7.46786e+06,70804.7,198.685,5.21634e+06,23916.1
34,7.42354e+06,70558.6,199.923,3.16551e+06,23774.1
35,7.33584e+06,58558.2,172.21,1.85012e+06,34044.7
36,7.2282e+06,58667.1,175.427,1.04955e+06,33545.2
37,7.09654e+06,61790.7,190.768,582671,32934.2
38,6.94371e+06,54657.2,177.406,319285,32224.9
39,6.78434e+06,49858.5,168.004,174204,0
40,6.61905e+06,42817.2,162.808,95475.3,0
41,6.45238e+06,29850.7,124.952,53031.8,0
42,6.29201e+06,31618.4,132.374,30111.8,0
43,6.12445e+06,25513.3,121.24,17618.6,0
44,5.95891e+06,19183.3,106.147,10708,8755.73
45,5.79661e+06,14267.9,90.559,6815.25,8517.25
46,5.63692e+06,9515.54,74.9709,4569.82,8282.62
47,5.48042e+06,9140.31,70.7647,3242.26,8052.67
48,5.32336e+06,6646.28,60.8675,2451.56,0
49,5.16849e+06,3156.13,35.6298,1987.85,0
50,5.01729e+06,2014.09,29.1966,1726.28,0
51,4.86784e+06,1322.44,20.0417,1606.81,0
52,4.72007e+06,2371.25,39.3968,0.0975504,0
53,4.57263e+06,1776.87,30.2733,0.105757,0
54,4.42752e+06,1009.27,17.4175,0.122813,0
55,4.28519e+06,625.138,12.0264,0.152801,0
56,4.14547e+06,1487.34,26.1263,0.203794,0
57,4.00734e+06,1849.31,32.3468,0.289367,0
