timestep,YearType,Year,Week,EstimatedFishingMort,EstimatedBiomass,EstimatedCatches
1,SimYear,2007,1,0.00897796,2.53539e+06,22169.2
2,SimYear,2007,2,0.00903588,2.43175e+06,21399.4
3,SimYear,2007,3,0.0093255,2.33096e+06,21166.9
4,SimYear,2007,4,0.00845666,2.23259e+06,18392.7
5,SimYear,2007,5,0.0106577,2.13923e+06,22186.4
6,SimYear,2007,6,0.0110632,2.04439e+06,22004.9
7,SimYear,2007,7,0.0114107,1.95218e+06,21668.8
8,SimYear,2007,8,0.00718237,1.86283e+06,13042.3
9,SimYear,2007,9,0.00938342,1.78459e+06,16305.6
10,SimYear,2007,10,0.0110052,1.70555e+06,18262.2
11,SimYear,2007,11,0.0102523,1.62736e+06,16238.8
12,SimYear,2007,12,0.0139014,1.55441e+06,20993.8
13,SimYear,2007,13,0.0138434,1.48072e+06,19915.8
14,SimYear,2007,14,0.0130325,1.41359e+06,17906.3
15,SimYear,2007,15,0.0147123,1.35635e+06,19379.6
16,SimYear,2007,16,0.0129167,1.30976e+06,16444.5
17,SimYear,2007,17,0.0125112,1.28516e+06,15632.3
18,SimYear,2007,18,0.0109473,1.29105e+06,13751.6
19,SimYear,2007,19,0.0133221,1.3437e+06,17396.7
20,SimYear,2007,20,0.0116424,1.45721e+06,16501.3
21,SimYear,2007,21,0.00874627,1.65844e+06,14128.6
22,SimYear,2007,22,0.0128008,1.96953e+06,24507.8
23,SimYear,2007,23,0.0106577,2.39041e+06,24791.4
24,SimYear,2007,24,0.0124533,2.92989e+06,35474.3
25,SimYear,2007,25,0.0114686,3.55692e+06,39680.4
26,SimYear,2007,26,0.00967303,4.23948e+06,39925.6
27,SimYear,2007,27,0.00920965,4.93109e+06,44224.4
28,SimYear,2007,28,0.00810913,5.57565e+06,44053.8
29,SimYear,2007,29,0.00718237,6.13527e+06,42955.1
30,SimYear,2007,30,0.00585016,6.58502e+06,37577.2
31,SimYear,2007,31,0.00503924,6.92156e+06,34036.4
32,SimYear,2007,32,0.00498132,7.15006e+06,34756.9
33,SimYear,2007,33,0.00428625,7.28206e+06,30469.7
34,SimYear,2007,34,0.00370703,7.34166e+06,26575.5
35,SimYear,2007,35,0.00312781,7.34639e+06,22444
36,SimYear,2007,36,0.00254858,7.31128e+06,18205.5
37,SimYear,2007,37,0.00289612,7.24763e+06,20504.4
38,SimYear,2007,38,0.00173767,7.15691e+06,12155.6
39,SimYear,2007,39,0.00144806,7.05564e+06,9987.81
40,SimYear,2007,40,0.00110052,6.94158e+06,7469.31
41,SimYear,2007,41,0.00144806,6.81805e+06,9651.48
42,SimYear,2007,42,0.00115845,6.6826e+06,7568.88
