timestep,YearType,Year,Week,EstimatedFishingMort,EstimatedBiomass,EstimatedCatches
1,SimYear,2007,1,0.00923212,2.46478e+06,22161.4
2,SimYear,2007,2,0.00929168,2.36443e+06,21395.6
3,SimYear,2007,3,0.00958949,2.26679e+06,21166.4
4,SimYear,2007,4,0.00869606,2.17143e+06,18395.1
5,SimYear,2007,5,0.0109594,2.08095e+06,22191.9
6,SimYear,2007,6,0.0113764,1.98885e+06,22012
7,SimYear,2007,7,0.0117337,1.89926e+06,21677
8,SimYear,2007,8,0.00738569,1.8124e+06,13048.5
9,SimYear,2007,9,0.00964905,1.73654e+06,16315.4
10,SimYear,2007,10,0.0113168,1.65976e+06,18274.2
11,SimYear,2007,11,0.0105425,1.58371e+06,16250
12,SimYear,2007,12,0.0142949,1.51277e+06,21007.9
13,SimYear,2007,13,0.0142353,1.44094e+06,19927.5
14,SimYear,2007,14,0.0134015,1.37547e+06,17915.3
15,SimYear,2007,15,0.0151288,1.31966e+06,19387.1
16,SimYear,2007,16,0.0132823,1.27411e+06,16448.5
17,SimYear,2007,17,0.0128654,1.24999e+06,15633.9
18,SimYear,2007,18,0.0112572,1.25552e+06,13751.1
19,SimYear,2007,19,0.0136993,1.30656e+06,17393.3
20,SimYear,2007,20,0.011972,1.4167e+06,16495.7
21,SimYear,2007,21,0.00899387,1.61221e+06,14123.3
22,SimYear,2007,22,0.0131632,1.91472e+06,24498.4
23,SimYear,2007,23,0.0109594,2.32382e+06,24781.9
24,SimYear,2007,24,0.0128058,2.84832e+06,35460.5
25,SimYear,2007,25,0.0117933,3.45771e+06,39663.4
26,SimYear,2007,26,0.00994686,4.12094e+06,39906.7
27,SimYear,2007,27,0.00947036,4.79286e+06,44200.5
28,SimYear,2007,28,0.00833869,5.41879e+06,44026
29,SimYear,2007,29,0.00738569,5.96202e+06,42923.9
30,SimYear,2007,30,0.00601577,6.39842e+06,37546.8
31,SimYear,2007,31,0.0051819,6.72497e+06,34007
32,SimYear,2007,32,0.00512234,6.9467e+06,34725.5
33,SimYear,2007,33,0.00440759,7.07477e+06,30441.8
34,SimYear,2007,34,0.00381197,7.13277e+06,26551.7
35,SimYear,2007,35,0.00321635,7.13769e+06,22425
36,SimYear,2007,36,0.00262073,7.10411e+06,18191.7
37,SimYear,2007,37,0.0029781,7.04299e+06,20490.9
38,SimYear,2007,38,0.00178686,6.95554e+06,12149
39,SimYear,2007,39,0.00148905,6.85809e+06,9983.83
40,SimYear,2007,40,0.00113168,6.74825e+06,7467.51
41,SimYear,2007,41,0.00148905,6.62926e+06,9650.71
42,SimYear,2007,42,0.00119124,6.49858e+06,7569.5
43,SimYear,2007,43,0.000893431,6.36235e+06,5558.93
44,SimYear,2007,44,0.00136993,6.22194e+06,8333.62
45,SimYear,2007,45,0.00273985,6.0738e+06,16259.4
46,SimYear,2007,46,0.00351416,5.91398e+06,20297.9
47,SimYear,2007,47,0.00506277,5.74755e+06,28397.9
48,SimYear,2007,48,0.00589664,5.57145e+06,32048.5
49,SimYear,2007,49,0.00851737,5.39112e+06,44735.8
50,SimYear,2007,50,0.00732613,5.19836e+06,37125.2
51,SimYear,2007,51,0.00804088,5.01434e+06,39290.7
52,SimYear,2007,52,0.00774307,4.82964e+06,36447.3
53,SimYear,2008,1,0.00923212,4.6498e+06,41807.4
54,SimYear,2008,2,0.00929168,4.46699e+06,40421.6
55,SimYear,2008,3,0.00958949,4.28839e+06,40043.3
56,SimYear,2008,4,0.00869606,4.11328e+06,34845.2
57,SimYear,2008,5,0.0109594,3.94665e+06,42088.3
58,SimYear,2008,6,0.0113764,3.77627e+06,41794.8
59,SimYear,2008,7,0.0117337,3.61002e+06,41202.6
60,SimYear,2008,8,0.00738569,3.44838e+06,24826.8
61,SimYear,2008,9,0.00964905,3.3071e+06,31071.3
62,SimYear,2008,10,0.0113168,3.16356e+06,34831.1
63,SimYear,2008,11,0.0105425,3.0208e+06,30995.6
64,SimYear,2008,12,0.0142949,2.88713e+06,40093.6
65,SimYear,2008,13,0.0142353,2.75081e+06,38042.5
66,SimYear,2008,14,0.0134015,2.62528e+06,34193.8
67,SimYear,2008,15,0.0151288,2.51594e+06,36961.7
68,SimYear,2008,16,0.0132823,2.4225e+06,31274.1
69,SimYear,2008,17,0.0128654,2.36378e+06,29564.2
70,SimYear,2008,18,0.0112572,2.35158e+06,25755.7
71,SimYear,2008,19,0.0136993,2.41049e+06,32089.2
72,SimYear,2008,20,0.011972,2.55928e+06,29799.6
73,SimYear,2008,21,0.00899387,2.83918e+06,24871.9
74,SimYear,2008,22,0.0131632,3.28262e+06,42000.4
75,SimYear,2008,23,0.0109594,3.88514e+06,41432.3
76,SimYear,2008,24,0.0128058,4.66124e+06,58030.7
77,SimYear,2008,25,0.0117933,5.56211e+06,63802.8
78,SimYear,2008,26,0.00994686,6.54117e+06,63343.9
79,SimYear,2008,27,0.00947036,7.5306e+06,69448.4
80,SimYear,2008,28,0.00833869,8.4483e+06,68639.9
81,SimYear,2008,29,0.00738569,9.24059e+06,66528.1
82,SimYear,2008,30,0.00601577,9.87258e+06,57933.7
83,SimYear,2008,31,0.0051819,1.03411e+07,52293
84,SimYear,2008,32,0.00512234,1.06543e+07,53259.3
85,SimYear,2008,33,0.00440759,1.08292e+07,46596.4
86,SimYear,2008,34,0.00381197,1.09011e+07,40579.2
87,SimYear,2008,35,0.00321635,1.08953e+07,34230.7
88,SimYear,2008,36,0.00262073,1.08334e+07,27741.3
89,SimYear,2008,37,0.0029781,1.07314e+07,31221.8
90,SimYear,2008,38,0.00178686,1.05907e+07,18498.4
91,SimYear,2008,39,0.00148905,1.04359e+07,15192.3
92,SimYear,2008,40,0.00113168,1.02632e+07,11357.1
93,SimYear,2008,41,0.00148905,1.00773e+07,14670.3
94,SimYear,2008,42,0.00119124,9.87431e+06,11501.5
95,SimYear,2008,43,0.000893431,9.66341e+06,8443.15
96,SimYear,2008,44,0.00136993,9.44665e+06,12652.8
97,SimYear,2008,45,0.00273985,9.2186e+06,24677.9
98,SimYear,2008,46,0.00351416,8.9732e+06,30797.6
99,SimYear,2008,47,0.00506277,8.71813e+06,43075.2
100,SimYear,2008,48,0.00589664,8.44873e+06,48599.5
101,SimYear,2008,49,0.00851737,8.1732e+06,67821.7
102,SimYear,2008,50,0.00732613,7.87913e+06,56270.4
103,SimYear,2008,51,0.00804088,7.59853e+06,59539.7
104,SimYear,2008,52,0.00774307,7.31715e+06,55219.5
105,SimYear,2009,1,0.00923212,7.04332e+06,63328
106,SimYear,2009,2,0.00929168,6.76517e+06,61217.7
107,SimYear,2009,3,0.00958949,6.49358e+06,60634.5
108,SimYear,2009,4,0.00869606,6.22741e+06,52754.8
109,SimYear,2009,5,0.0109594,5.97423e+06,63711
110,SimYear,2009,6,0.0113764,5.71547e+06,63257.3
111,SimYear,2009,7,0.0117337,5.46308e+06,62352.2
112,SimYear,2009,8,0.00738569,5.21772e+06,37565.3
113,SimYear,2009,9,0.00964905,5.00323e+06,47007
114,SimYear,2009,10,0.0113168,4.7853e+06,52686.7
115,SimYear,2009,11,0.0105425,4.56848e+06,46875.9
116,SimYear,2009,12,0.0142949,4.36515e+06,60618.9
117,SimYear,2009,13,0.0142353,4.15734e+06,57494.1
118,SimYear,2009,14,0.0134015,3.96485e+06,51641.5
119,SimYear,2009,15,0.0151288,3.79505e+06,55753.1
120,SimYear,2009,16,0.0132823,3.64611e+06,47070.7
121,SimYear,2009,17,0.0128654,3.54425e+06,44328.5
122,SimYear,2009,18,0.0112572,3.50402e+06,38377.7
123,SimYear,2009,19,0.0136993,3.55808e+06,47366.3
124,SimYear,2009,20,0.011972,3.72966e+06,43427.2
125,SimYear,2009,21,0.00899387,4.07521e+06,35699.7
126,SimYear,2009,22,0.0131632,4.63892e+06,59354
127,SimYear,2009,23,0.0109594,5.41452e+06,57742.1
128,SimYear,2009,24,0.0128058,6.42529e+06,79992.5
129,SimYear,2009,25,0.0117933,7.60764e+06,87267.2
130,SimYear,2009,26,0.00994686,8.90183e+06,86204.2
131,SimYear,2009,27,0.00947036,1.02179e+07,94231.2
132,SimYear,2009,28,0.00833869,1.14451e+07,92987.9
133,SimYear,2009,29,0.00738569,1.25096e+07,90063.5
134,SimYear,2009,30,0.00601577,1.33621e+07,78411
135,SimYear,2009,31,0.0051819,1.39963e+07,70776.7
136,SimYear,2009,32,0.00512234,1.44212e+07,72089.6
137,SimYear,2009,33,0.00440759,1.46588e+07,63074.7
138,SimYear,2009,34,0.00381197,1.47564e+07,54930.7
139,SimYear,2009,35,0.00321635,1.47482e+07,46335.7
140,SimYear,2009,36,0.00262073,1.46634e+07,37549
141,SimYear,2009,37,0.0029781,1.45241e+07,42256.4
142,SimYear,2009,38,0.00178686,1.43323e+07,25033.8
143,SimYear,2009,39,0.00148905,1.41214e+07,20557.6
144,SimYear,2009,40,0.00113168,1.38864e+07,15366.4
145,SimYear,2009,41,0.00148905,1.36335e+07,19847.4
146,SimYear,2009,42,0.00119124,1.33577e+07,15559
147,SimYear,2009,43,0.000893431,1.30713e+07,11420.7
148,SimYear,2009,44,0.00136993,1.27771e+07,17113.6
149,SimYear,2009,45,0.00273985,1.24678e+07,33375.7
150,SimYear,2009,46,0.00351416,1.21351e+07,41649.7
151,SimYear,2009,47,0.00506277,1.17894e+07,58249.8
152,SimYear,2009,48,0.00589664,1.14244e+07,65716.4
153,SimYear,2009,49,0.00851737,1.10512e+07,91703.9
154,SimYear,2009,50,0.00732613,1.06531e+07,76081.2
155,SimYear,2009,51,0.00804088,1.02732e+07,80497.6
156,SimYear,2009,52,0.00774307,9.89236e+06,74653.5
157,SimYear,2010,1,0.00923212,9.52176e+06,85612.2
158,SimYear,2010,2,0.00929168,9.14536e+06,82756
159,SimYear,2010,3,0.00958949,8.77789e+06,81964.5
160,SimYear,2010,4,0.00869606,8.41779e+06,71310.4
161,SimYear,2010,5,0.0109594,8.07529e+06,86117.4
162,SimYear,2010,6,0.0113764,7.72529e+06,85501.4
163,SimYear,2010,7,0.0117337,7.38391e+06,84275.4
164,SimYear,2010,8,0.00738569,7.05208e+06,50771.8
165,SimYear,2010,9,0.00964905,6.76197e+06,63530.9
166,SimYear,2010,10,0.0113168,6.46722e+06,71204.8
167,SimYear,2010,11,0.0105425,6.17397e+06,63349.4
168,SimYear,2010,12,0.0142949,5.89892e+06,81918.3
169,SimYear,2010,13,0.0142353,5.61772e+06,77690.6
170,SimYear,2010,14,0.0134015,5.35706e+06,69774.8
171,SimYear,2010,15,0.0151288,5.12669e+06,75316.3
172,SimYear,2010,16,0.0132823,4.92381e+06,63565.5
173,SimYear,2010,17,0.0128654,4.78317e+06,59823.8
174,SimYear,2010,18,0.0112572,4.72327e+06,51731.5
175,SimYear,2010,19,0.0136993,4.78627e+06,63716.3
176,SimYear,2010,20,0.011972,5.00067e+06,58226.6
177,SimYear,2010,21,0.00899387,5.43856e+06,47643
178,SimYear,2010,22,0.0131632,6.15464e+06,78747.3
179,SimYear,2010,23,0.0109594,7.13621e+06,76102.8
180,SimYear,2010,24,0.0128058,8.41093e+06,104713
181,SimYear,2010,25,0.0117933,9.89368e+06,113490
182,SimYear,2010,26,0.00994686,1.15075e+07,111437
183,SimYear,2010,27,0.00947036,1.31387e+07,121167
184,SimYear,2010,28,0.00833869,1.46492e+07,119021
185,SimYear,2010,29,0.00738569,1.59499e+07,114832
186,SimYear,2010,30,0.00601577,1.69829e+07,99657.8
187,SimYear,2010,31,0.0051819,1.77435e+07,89725.8
188,SimYear,2010,32,0.00512234,1.82457e+07,91207.7
189,SimYear,2010,33,0.00440759,1.85177e+07,79679
190,SimYear,2010,34,0.00381197,1.8619e+07,69309.1
191,SimYear,2010,35,0.00321635,1.85917e+07,58411.1
192,SimYear,2010,36,0.00262073,1.84717e+07,47300.8
193,SimYear,2010,37,0.0029781,1.82857e+07,53200.3
194,SimYear,2010,38,0.00178686,1.80356e+07,31502.4
195,SimYear,2010,39,0.00148905,1.77631e+07,25859.1
196,SimYear,2010,40,0.00113168,1.74612e+07,19322.4
197,SimYear,2010,41,0.00148905,1.7138e+07,24949
198,SimYear,2010,42,0.00119124,1.67865e+07,19552.8
