timestep,YearType,Year,Week,EstimatedFishingMort,EstimatedBiomass,EstimatedCatches
1,BiologicalYear,1989,1,0.0247702,58215.4,1392.85
2,BiologicalYear,1989,2,0.0183641,56695.4,1008.86
3,BiologicalYear,1989,3,0.0199301,55758.8,1075.97
4,BiologicalYear,1989,4,0.0288986,55023.7,1532.78
5,BiologicalYear,1989,5,0.0355853,54183.6,1852.49
6,BiologicalYear,1989,6,0.0344959,53469.4,1773.07
7,BiologicalYear,1989,7,0.0295939,53367.2,1521.87
8,BiologicalYear,1989,8,0.0443,54112.1,2293.25
9,BiologicalYear,1989,9,0.038581,54707.5,2024.87
10,BiologicalYear,1989,10,0.061482,56213.7,3278.49
11,BiologicalYear,1989,11,0.060863,57044.1,3294.42
12,BiologicalYear,1989,12,0.0649893,58371.4,3592.34
13,BiologicalYear,1989,13,0.0521978,59771.8,2973.12
14,BiologicalYear,1989,14,0.0733946,62007.4,4291.93
15,BiologicalYear,1989,15,0.0746078,62912.1,4423.89
16,BiologicalYear,1989,16,0.0681377,63513,4091.8
17,BiologicalYear,1989,17,0.0691487,64117.7,4189.97
18,BiologicalYear,1989,18,0.059961,64155.6,3651.83
19,BiologicalYear,1989,19,0.0880364,64188.8,5291.19
20,BiologicalYear,1989,20,0.0667793,61953.7,3914.38
21,BiologicalYear,1989,21,0.0613648,60532.7,3523.85
22,BiologicalYear,1989,22,0.0467923,58948.2,2635.51
23,BiologicalYear,1989,23,0.0375081,57757.3,2079.41
24,BiologicalYear,1989,24,0.0506917,56679.8,2740.01
25,BiologicalYear,1989,25,0.029338,54544,1542.18
26,BiologicalYear,1989,26,0.0220964,53306.2,1139.23
27,BiologicalYear,1989,27,0.0275501,52208.1,1387.4
28,BiologicalYear,1989,28,0.0284736,50638.9,1390.17
29,BiologicalYear,1989,29,0.0237023,48894.9,1120.01
30,BiologicalYear,1989,30,0.0206241,47289.4,943.989
31,BiologicalYear,1989,31,0.0208152,45754.8,921.729
32,BiologicalYear,1989,32,0.016433,44159.3,703.83
33,BiologicalYear,1989,33,0.00876428,42720,364.523
34,BiologicalYear,1989,34,0.0103467,41571.3,418.44
35,BiologicalYear,1989,35,0.00613995,40326.1,241.376
36,BiologicalYear,1989,36,0.00861573,39228.5,329.082
37,BiologicalYear,1989,37,0.00485254,38019.9,179.97
38,BiologicalYear,1989,38,0.00217869,36947.4,78.6276
39,BiologicalYear,1989,39,0.00514963,35966.9,180.649
40,BiologicalYear,1989,40,0.00623238,34879.9,211.91
41,BiologicalYear,1989,41,0.00594023,33765.9,195.554
42,BiologicalYear,1989,42,0.00701142,32679.2,223.271
43,BiologicalYear,1989,43,0.00993285,31581.2,305.231
44,BiologicalYear,1989,44,0.0147445,30424.9,435.463
45,BiologicalYear,1989,45,0.0138301,29171.4,391.807
46,BiologicalYear,1989,46,0.0139444,28004.4,379.22
47,BiologicalYear,1989,47,0.0161161,26900.2,420.546
48,BiologicalYear,1989,48,0.0115471,25815.5,289.822
49,BiologicalYear,1989,49,0.015746,24935.2,380.941
50,BiologicalYear,1989,50,0.0225693,24052.1,524.905
51,BiologicalYear,1989,51,0.0196825,23138.9,441.014
52,BiologicalYear,1989,52,0.0165333,22453.7,360.042
53,BiologicalYear,1990,1,0.0176258,22224.1,379.704
54,BiologicalYear,1990,2,0.0210932,22261.5,454.386
55,BiologicalYear,1990,3,0.0186371,22582.9,407.768
56,BiologicalYear,1990,4,0.0174814,23394.2,396.448
57,BiologicalYear,1990,5,0.0221108,24751.9,529.324
58,BiologicalYear,1990,6,0.0256117,26607,657.948
59,BiologicalYear,1990,7,0.0226636,29056.2,636.733
60,BiologicalYear,1990,8,0.0222951,32325.1,696.976
61,BiologicalYear,1990,9,0.0131911,36371.2,466.084
62,BiologicalYear,1990,10,0.0330824,41485.7,1320.24
63,BiologicalYear,1990,11,0.0314074,46493.6,1405.85
64,BiologicalYear,1990,12,0.0280573,52054.7,1408.44
65,BiologicalYear,1990,13,0.0280573,58069.3,1571.17
66,BiologicalYear,1990,14,0.0408338,64143.1,2509.95
67,BiologicalYear,1990,15,0.0640208,69224,4198.74
68,BiologicalYear,1990,16,0.0742806,72288.5,5061.75
69,BiologicalYear,1990,17,0.0705871,73962.7,4930.38
70,BiologicalYear,1990,18,0.0805939,75098.7,5687.84
71,BiologicalYear,1990,19,0.0755059,74677.1,5312.06
72,BiologicalYear,1990,20,0.0706214,73811.1,4922.58
73,BiologicalYear,1990,21,0.0726566,72521,4970.96
74,BiologicalYear,1990,22,0.0636942,70406.1,4249.34
75,BiologicalYear,1990,23,0.0670862,68328.6,4336.35
76,BiologicalYear,1990,24,0.0567217,65552.7,3535.4
77,BiologicalYear,1990,25,0.0465457,63078.1,2805.64
78,BiologicalYear,1990,26,0.0572871,60918.1,3317.27
79,BiologicalYear,1990,27,0.0531078,57890.3,2928.43
80,BiologicalYear,1990,28,0.0410804,54985.9,2164.36
81,BiologicalYear,1990,29,0.0367069,52642.5,1855.51
82,BiologicalYear,1990,30,0.0335829,50441.4,1629.12
83,BiologicalYear,1990,31,0.0177891,48336.7,833.429
84,BiologicalYear,1990,32,0.00827689,46930.6,378.274
85,BiologicalYear,1990,33,0.00852396,45892.8,380.904
86,BiologicalYear,1990,34,0.00580618,44775.6,253.482
87,BiologicalYear,1990,35,0.00522619,43726.8,222.88
88,BiologicalYear,1990,36,0.00532669,42660.8,221.618
89,BiologicalYear,1990,37,0.00653274,41560.1,264.624
90,BiologicalYear,1990,38,0.00613072,40390.9,241.401
91,BiologicalYear,1990,39,0.00683425,39230,261.277
92,BiologicalYear,1990,40,0.00405197,38042.3,150.427
93,BiologicalYear,1990,41,0.00454611,36966.2,163.957
94,BiologicalYear,1990,42,0.00424963,35882.4,148.793
95,BiologicalYear,1990,43,0.00543557,34827,184.61
96,BiologicalYear,1990,44,0.00858385,33756.5,282.135
97,BiologicalYear,1990,45,0.00974383,32619.1,309.292
98,BiologicalYear,1990,46,0.00939583,31497,288.035
99,BiologicalYear,1990,47,0.0103238,30450.1,305.824
100,BiologicalYear,1990,48,0.0174449,29453,498.092
101,BiologicalYear,1990,49,0.0183771,28350.9,504.84
102,BiologicalYear,1990,50,0.0165127,27356,438.11
103,BiologicalYear,1990,51,0.0174449,26570.5,449.345
104,BiologicalYear,1990,52,0.0187766,25952.4,472.083
105,BiologicalYear,1991,1,0.0202827,25462.9,499.96
106,BiologicalYear,1991,2,0.0146035,25206.8,357.353
107,BiologicalYear,1991,3,0.0206884,25419.9,508.995
108,BiologicalYear,1991,4,0.0152796,25881.4,383.775
109,BiologicalYear,1991,5,0.0215565,26956.3,562.168
110,BiologicalYear,1991,6,0.019832,28425.5,545.849
111,BiologicalYear,1991,7,0.0215565,30570.5,637.541
112,BiologicalYear,1991,8,0.0201769,33348.1,651.403
113,BiologicalYear,1991,9,0.0146976,36875,526.114
114,BiologicalYear,1991,10,0.0293952,41287.2,1169.6
115,BiologicalYear,1991,11,0.0458566,45741.6,2005.08
116,BiologicalYear,1991,12,0.0478162,49926.7,2279.87
117,BiologicalYear,1991,13,0.037234,54249,1939.08
118,BiologicalYear,1991,14,0.047244,59132.2,2668.67
119,BiologicalYear,1991,15,0.0457076,63249.9,2763.76
120,BiologicalYear,1991,16,0.0603033,67025.2,3836.31
121,BiologicalYear,1991,17,0.0702899,69254.2,4597.74
122,BiologicalYear,1991,18,0.0588586,70098.6,3918.88
123,BiologicalYear,1991,19,0.0777163,70933.3,5187.85
124,BiologicalYear,1991,20,0.0811449,69718.2,5315.01
125,BiologicalYear,1991,21,0.0834307,67627.8,5294.94
126,BiologicalYear,1991,22,0.0627882,64858.9,3860.58
127,BiologicalYear,1991,23,0.0633173,62925.9,3776.1
128,BiologicalYear,1991,24,0.0573207,60529.6,3297.99
129,BiologicalYear,1991,25,0.0705485,58156,3874.66
130,BiologicalYear,1991,26,0.0515004,54814.7,2691.05
131,BiologicalYear,1991,27,0.0361095,52373,1816.5
132,BiologicalYear,1991,28,0.0314313,50571.1,1530.29
133,BiologicalYear,1991,29,0.0236831,48857.7,1118.26
134,BiologicalYear,1991,30,0.0346476,47400.3,1578.6
